sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh,occup_rate_guh,holidays_sazonality_guh,vacation_sazonality,year,month,day,avg_rate_guh
-0.5039,410.93,5.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,3,346.93
0.0,390.67,1.0,0.6922,0.959,0.0,0.6923,0.0,1.0,2022,9,4,263.58
-0.3103,398.69,2.0,0.6922,0.959,0.0,0.5385,0.0,1.0,2022,9,5,353.13
-0.8271999999999999,432.25,3.0,0.6922,0.959,0.0,0.4614999999999999,-1.0,1.0,2022,9,6,283.95
-0.5062,442.07,3.0,0.6922,0.959,0.0,0.6923,-1.0,1.0,2022,9,7,334.38
-0.6033,441.27,4.0,0.6922,0.959,1.0,0.8462000000000001,0.0,1.0,2022,9,8,356.43
-0.6089,406.09,5.0,0.6922,0.959,0.0,0.9231,0.0,1.0,2022,9,9,346.26
-0.6470999999999999,408.77,5.0,0.6922,0.959,0.0,0.6923,0.0,1.0,2022,9,10,276.76
-0.8049,422.12,1.0,0.6922,0.959,0.0,0.4614999999999999,0.0,1.0,2022,9,11,298.7
-0.8316,386.19,2.0,0.6922,0.959,0.0,0.5385,0.0,1.0,2022,9,12,364.27
-0.6,429.16,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,13,353.27
-0.5556,464.14,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,14,342.34
-0.6418,481.69,4.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,15,365.92
-0.6364,473.43,5.0,0.6922,0.959,0.0,0.8462000000000001,0.0,1.0,2022,9,16,356.4
-0.8033,424.48,5.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,17,341.54
-0.7555,422.09,1.0,0.6922,0.959,0.0,0.8462000000000001,0.0,1.0,2022,9,18,320.17
-0.6225999999999999,369.23,2.0,0.6922,0.959,0.0,0.6154,0.0,1.0,2022,9,19,346.89
-0.7333,402.63,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,20,360.54
-0.4563,442.92,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,21,328.48
-0.7064,461.12,4.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,22,323.27
-0.625,488.4,5.0,0.6922,0.959,0.0,0.9231,0.0,1.0,2022,9,23,330.39
-0.6537000000000001,458.08,5.0,0.6922,0.959,1.0,1.0,0.0,1.0,2022,9,24,348.44
-0.7372,451.76,1.0,0.6922,0.959,0.0,0.6154,0.0,1.0,2022,9,25,322.85
-0.9111,379.56,2.0,0.6922,0.959,0.0,0.5385,0.0,1.0,2022,9,26,338.14
-1.0,409.08,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,27,342.37
-0.5596,419.08,3.0,0.6922,0.959,0.0,1.0,0.0,1.0,2022,9,28,350.54
-0.4483,421.32,4.0,0.6922,0.959,0.0,0.6923,0.0,1.0,2022,9,29,351.47
-0.6522,425.83,5.0,0.6922,0.959,0.0,0.6923,0.0,1.0,2022,9,30,340.53
-0.7705,425.55,5.0,0.6485,0.93,0.0,0.9231,0.0,1.0,2022,10,1,351.73
-0.5758,414.22,1.0,0.6485,0.93,0.0,0.5385,0.0,1.0,2022,10,2,346.61
-0.6903,385.34,2.0,0.6485,0.93,0.0,0.3846,0.0,1.0,2022,10,3,342.46
-0.7762,396.48,3.0,0.6485,0.93,0.0,0.9231,0.0,1.0,2022,10,4,288.31
