date,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh,sold_rooms_guh,occup_rate_guh,avg_rate_guh,holidays_sazonality_guh,vacation_sazonality
2022-09-03,-0.5039,410.93,5.0,0.6922,0.959,0.0,13.0,1.0,346.93,0.0,1.0
2022-09-04,0.0,390.67,1.0,0.6922,0.959,0.0,9.0,0.6923,263.58,0.0,1.0
2022-09-05,-0.3103,398.69,2.0,0.6922,0.959,0.0,7.0,0.5385,353.13,0.0,1.0
2022-09-06,-0.8271999999999999,432.25,3.0,0.6922,0.959,0.0,6.0,0.46149999999999997,283.95,-1.0,1.0
2022-09-07,-0.5062,442.07,3.0,0.6922,0.959,0.0,9.0,0.6923,334.38,-1.0,1.0
2022-09-08,-0.6033,441.27,4.0,0.6922,0.959,1.0,11.0,0.8462000000000001,356.43,0.0,1.0
2022-09-09,-0.6089,406.09,5.0,0.6922,0.959,0.0,12.0,0.9231,346.26,0.0,1.0
2022-09-10,-0.6470999999999999,408.77,5.0,0.6922,0.959,0.0,9.0,0.6923,276.76,0.0,1.0
2022-09-11,-0.8049,422.12,1.0,0.6922,0.959,0.0,6.0,0.46149999999999997,298.7,0.0,1.0
2022-09-12,-0.8316,386.19,2.0,0.6922,0.959,0.0,7.0,0.5385,364.27,0.0,1.0
2022-09-13,-0.6,429.16,3.0,0.6922,0.959,0.0,13.0,1.0,353.27,0.0,1.0
2022-09-14,-0.5556,464.14,3.0,0.6922,0.959,0.0,13.0,1.0,342.34,0.0,1.0
2022-09-15,-0.6418,481.69,4.0,0.6922,0.959,0.0,13.0,1.0,365.92,0.0,1.0
2022-09-16,-0.6364,473.43,5.0,0.6922,0.959,0.0,11.0,0.8462000000000001,356.4,0.0,1.0
2022-09-17,-0.8033,424.48,5.0,0.6922,0.959,0.0,13.0,1.0,341.54,0.0,1.0
2022-09-18,-0.7555,422.09,1.0,0.6922,0.959,0.0,11.0,0.8462000000000001,320.17,0.0,1.0
2022-09-19,-0.6225999999999999,369.23,2.0,0.6922,0.959,0.0,8.0,0.6154,346.89,0.0,1.0
2022-09-20,-0.7333,402.63,3.0,0.6922,0.959,0.0,13.0,1.0,360.54,0.0,1.0
2022-09-21,-0.45630000000000004,442.92,3.0,0.6922,0.959,0.0,13.0,1.0,328.48,0.0,1.0
2022-09-22,-0.7064,461.12,4.0,0.6922,0.959,0.0,13.0,1.0,323.27,0.0,1.0
2022-09-23,-0.625,488.4,5.0,0.6922,0.959,0.0,12.0,0.9231,330.39,0.0,1.0
2022-09-24,-0.6537000000000001,458.08,5.0,0.6922,0.959,1.0,13.0,1.0,348.44,0.0,1.0
2022-09-25,-0.7372,451.76,1.0,0.6922,0.959,0.0,8.0,0.6154,322.85,0.0,1.0
2022-09-26,-0.9111,379.56,2.0,0.6922,0.959,0.0,7.0,0.5385,338.14,0.0,1.0
2022-09-27,-1.0,409.08,3.0,0.6922,0.959,0.0,13.0,1.0,342.37,0.0,1.0
2022-09-28,-0.5596,419.08,3.0,0.6922,0.959,0.0,13.0,1.0,350.54,0.0,1.0
2022-09-29,-0.4483,421.32,4.0,0.6922,0.959,0.0,9.0,0.6923,351.47,0.0,1.0
2022-09-30,-0.6522,425.83,5.0,0.6922,0.959,0.0,9.0,0.6923,340.53,0.0,1.0
2022-10-01,-0.7705,425.55,5.0,0.6485,0.93,0.0,12.0,0.9231,351.73,0.0,1.0
2022-10-02,-0.5758,414.22,1.0,0.6485,0.93,0.0,7.0,0.5385,346.61,0.0,1.0
2022-10-03,-0.6903,385.34,2.0,0.6485,0.93,0.0,5.0,0.3846,342.46,0.0,1.0
2022-10-04,-0.7762,396.48,3.0,0.6485,0.93,0.0,12.0,0.9231,288.31,0.0,1.0
2022-10-05,-0.8613,424.67,3.0,0.6485,0.93,0.0,12.0,0.9231,326.58,0.0,1.0
2022-10-06,-0.6643000000000001,413.43,4.0,0.6485,0.93,0.0,11.0,0.8462000000000001,334.45,0.0,1.0
2022-10-07,-0.7019,405.46,5.0,0.6485,0.93,0.0,11.0,0.8462000000000001,353.36,0.0,1.0
2022-10-08,-0.7746,402.59,5.0,0.6485,0.93,0.0,12.0,0.9231,362.03,0.0,1.0
2022-10-09,-1.0,389.48,1.0,0.6485,0.93,0.0,7.0,0.5385,331.38,0.0,1.0
2022-10-10,-1.0,382.08,2.0,0.6485,0.93,0.0,4.0,0.3077,341.53,0.0,1.0
2022-10-11,-0.8563,410.12,3.0,0.6485,0.93,0.0,4.0,0.3077,281.0,-1.0,1.0
2022-10-12,-0.8983,455.45,3.0,0.6485,0.93,0.0,3.0,0.23079999999999998,301.59,-1.0,1.0
2022-10-13,-0.9233,473.07,4.0,0.6485,0.93,0.0,5.0,0.3846,273.95,0.0,1.0
2022-10-14,-0.9251999999999999,374.61,5.0,0.6485,0.93,0.0,13.0,1.0,320.1,0.0,1.0
2022-10-15,-0.9344,386.07,5.0,0.6485,0.93,0.0,13.0,1.0,332.84,0.0,1.0
2022-10-16,-0.9365000000000001,412.16,1.0,0.6485,0.93,0.0,6.0,0.46149999999999997,338.59,0.0,1.0
2022-10-17,-0.8919,421.86,2.0,0.6485,0.93,0.0,8.0,0.6154,342.22,0.0,1.0
2022-10-18,-0.6923,468.73,3.0,0.6485,0.93,0.0,12.0,0.9231,330.08,0.0,1.0
2022-10-19,-0.6862999999999999,489.16,3.0,0.6485,0.93,0.0,12.0,0.9231,359.94,0.0,1.0
2022-10-20,-0.8384,408.51,4.0,0.6485,0.93,0.0,12.0,0.9231,374.92,0.0,1.0
2022-10-21,-0.6757,419.83,5.0,0.6485,0.93,0.0,12.0,0.9231,356.25,0.0,1.0
2022-10-22,-0.6757,500.62,5.0,0.6485,0.93,0.0,10.0,0.7692,376.96,0.0,1.0
2022-10-23,-0.5789,536.69,1.0,0.6485,0.93,0.0,5.0,0.3846,345.83,0.0,1.0
2022-10-24,-0.6522,459.44,2.0,0.6485,0.93,0.0,8.0,0.6154,341.13,0.0,1.0
2022-10-25,-0.6712,448.66,3.0,0.6485,0.93,0.0,11.0,0.8462000000000001,352.62,0.0,1.0
2022-10-26,-0.7656999999999999,456.28,3.0,0.6485,0.93,0.0,13.0,1.0,352.96,0.0,1.0
2022-10-27,-0.8298000000000001,376.7,4.0,0.6485,0.93,0.0,13.0,1.0,343.12,0.0,1.0
2022-10-28,-0.68,360.62,5.0,0.6485,0.93,0.0,10.0,0.7692,367.99,0.0,1.0
2022-10-29,-0.22579999999999997,401.5,5.0,0.6485,0.93,0.0,12.0,0.9231,279.02,0.0,1.0
2022-10-30,-0.1515,461.71,1.0,0.6485,0.93,0.0,3.0,0.23079999999999998,301.59,0.0,1.0
2022-10-31,-0.5447,512.96,2.0,0.6485,0.93,0.0,4.0,0.3077,328.58,0.0,1.0
2022-11-01,-0.6631999999999999,471.81,3.0,0.7192000000000001,1.011,0.0,4.0,0.3077,210.75,-1.0,1.0
2022-11-02,-0.6854,417.82,3.0,0.7192000000000001,1.011,0.0,5.0,0.3846,373.0,-1.0,1.0
2022-11-03,-0.8919,376.64,4.0,0.7192000000000001,1.011,0.0,12.0,0.9231,339.17,0.0,1.0
2022-11-04,-0.7419,383.05,5.0,0.7192000000000001,1.011,0.0,13.0,1.0,335.43,0.0,1.0
2022-11-05,-0.831,366.52,5.0,0.7192000000000001,1.011,2.0,13.0,1.0,345.98,0.0,1.0
2022-11-06,-0.596,486.53,1.0,0.7192000000000001,1.011,0.0,12.0,0.9231,343.84,0.0,1.0
2022-11-07,-0.7082999999999999,441.86,2.0,0.7192000000000001,1.011,0.0,13.0,1.0,339.95,0.0,1.0
2022-11-08,-0.9259000000000001,394.88,3.0,0.7192000000000001,1.011,0.0,13.0,1.0,327.0,0.0,1.0
2022-11-09,-1.0,418.76,3.0,0.7192000000000001,1.011,0.0,13.0,1.0,334.03,0.0,1.0
2022-11-10,-0.7383,455.27,4.0,0.7192000000000001,1.011,0.0,13.0,1.0,362.02,0.0,1.0
2022-11-11,-0.5463,470.41,5.0,0.7192000000000001,1.011,2.0,13.0,1.0,398.05,2.0,1.0
2022-11-12,-0.23079999999999998,468.62,5.0,0.7192000000000001,1.011,2.0,13.0,1.0,398.05,2.0,1.0
2022-11-13,-0.5396,405.94,1.0,0.7192000000000001,1.011,2.0,12.0,0.9231,410.31,2.0,1.0
2022-11-14,-0.7726999999999999,402.01,2.0,0.7192000000000001,1.011,0.0,11.0,0.8462000000000001,393.66,2.0,1.0
2022-11-15,-0.8545,364.45,3.0,0.7192000000000001,1.011,0.0,5.0,0.3846,450.8,0.0,1.0
2022-11-16,-0.9175,351.69,3.0,0.7192000000000001,1.011,1.0,7.0,0.5385,412.19,0.0,1.0
2022-11-17,-0.68,462.63,4.0,0.7192000000000001,1.011,1.0,9.0,0.6923,434.27,0.0,1.0
2022-11-18,-0.7757,345.58,5.0,0.7192000000000001,1.011,1.0,12.0,0.9231,383.44,0.0,1.0
2022-11-19,-1.0,327.13,5.0,0.7192000000000001,1.011,1.0,13.0,1.0,380.85,0.0,1.0
2022-11-20,-0.9059,332.49,1.0,0.7192000000000001,1.011,1.0,6.0,0.46149999999999997,421.4,0.0,1.0
2022-11-21,-0.9101,342.52,2.0,0.7192000000000001,1.011,0.0,9.0,0.6923,403.67,0.0,1.0
2022-11-22,-1.0,347.94,3.0,0.7192000000000001,1.011,0.0,8.0,0.6154,363.59,0.0,1.0
2022-11-23,-1.0,327.18,3.0,0.7192000000000001,1.011,0.0,12.0,0.9231,359.79,0.0,1.0
2022-11-24,-1.0,316.81,4.0,0.7192000000000001,1.011,0.0,10.0,0.7692,288.61,0.0,1.0
2022-11-25,-0.8476,318.57,5.0,0.7192000000000001,1.011,0.0,12.0,0.9231,348.03,0.0,1.0
2022-11-26,-0.8698999999999999,321.98,5.0,0.7192000000000001,1.011,0.0,10.0,0.7692,330.73,0.0,1.0
2022-11-27,-0.6596,351.34,1.0,0.7192000000000001,1.011,0.0,5.0,0.3846,331.1,0.0,1.0
2022-11-28,-0.7476999999999999,475.96,2.0,0.7192000000000001,1.011,0.0,7.0,0.5385,372.45,0.0,1.0
2022-11-29,-0.8961,343.98,3.0,0.7192000000000001,1.011,0.0,8.0,0.6154,390.02,0.0,1.0
2022-11-30,-0.7826000000000001,364.31,3.0,0.7192000000000001,1.011,0.0,12.0,0.9231,380.1,0.0,1.0
2022-12-01,-0.9048,457.09,4.0,0.5466,1.009,0.0,13.0,1.0,364.22,0.0,1.0
2022-12-02,-0.5,425.88,5.0,0.5466,1.009,0.0,13.0,1.0,365.26,0.0,1.0
2022-12-03,-0.5752,486.53,5.0,0.5466,1.009,0.0,13.0,1.0,357.34,0.0,1.0
