,sales_rate_comparison,avg_rate_compt,weekday_sazonality_guh,occup_competitors,imat_sp,event_sazonality_guh
2022-09-03,-50.39%,410.93,5,0.6922,0.9590000000000001,0
2022-09-04,+0.00%,390.67,1,0.6922,0.9590000000000001,0
2022-09-05,-31.03%,398.69,2,0.6922,0.9590000000000001,0
2022-09-06,-82.72%,432.25,3,0.6922,0.9590000000000001,0
2022-09-07,-50.62%,442.07,3,0.6922,0.9590000000000001,0
2022-09-08,-60.33%,441.27,4,0.6922,0.9590000000000001,1
2022-09-09,-60.89%,406.09,5,0.6922,0.9590000000000001,0
2022-09-10,-64.71%,408.77,5,0.6922,0.9590000000000001,0
2022-09-11,-80.49%,422.12,1,0.6922,0.9590000000000001,0
2022-09-12,-83.16%,386.19,2,0.6922,0.9590000000000001,0
2022-09-13,-60.00%,429.16,3,0.6922,0.9590000000000001,0
2022-09-14,-55.56%,464.14,3,0.6922,0.9590000000000001,0
2022-09-15,-64.18%,481.69,4,0.6922,0.9590000000000001,0
2022-09-16,-63.64%,473.43,5,0.6922,0.9590000000000001,0
2022-09-17,-80.33%,424.48,5,0.6922,0.9590000000000001,0
2022-09-18,-75.55%,422.09,1,0.6922,0.9590000000000001,0
2022-09-19,-62.26%,369.23,2,0.6922,0.9590000000000001,0
2022-09-20,-73.33%,402.63,3,0.6922,0.9590000000000001,0
2022-09-21,-45.63%,442.92,3,0.6922,0.9590000000000001,0
2022-09-22,-70.64%,461.12,4,0.6922,0.9590000000000001,0
2022-09-23,-62.50%,488.40,5,0.6922,0.9590000000000001,0
2022-09-24,-65.37%,458.08,5,0.6922,0.9590000000000001,1
2022-09-25,-73.72%,451.76,1,0.6922,0.9590000000000001,0
2022-09-26,-91.11%,379.56,2,0.6922,0.9590000000000001,0
2022-09-27,-100.00%,409.08,3,0.6922,0.9590000000000001,0
2022-09-28,-55.96%,419.08,3,0.6922,0.9590000000000001,0
2022-09-29,-44.83%,421.32,4,0.6922,0.9590000000000001,0
2022-09-30,-65.22%,425.83,5,0.6922,0.9590000000000001,0
2022-10-01,-77.05%,425.55,5,0.6485,0.93,0
2022-10-02,-57.58%,414.22,1,0.6485,0.93,0
2022-10-03,-69.03%,385.34,2,0.6485,0.93,0
2022-10-04,-77.62%,396.48,3,0.6485,0.93,0
2022-10-05,-86.13%,424.67,3,0.6485,0.93,0
2022-10-06,-66.43%,413.43,4,0.6485,0.93,0
2022-10-07,-70.19%,405.46,5,0.6485,0.93,0
2022-10-08,-77.46%,402.59,5,0.6485,0.93,0
2022-10-09,-100.00%,389.48,1,0.6485,0.93,0
2022-10-10,-100.00%,382.08,2,0.6485,0.93,0
2022-10-11,-85.63%,410.12,3,0.6485,0.93,0
2022-10-12,-89.83%,455.45,3,0.6485,0.93,0
2022-10-13,-92.33%,473.07,4,0.6485,0.93,0
2022-10-14,-92.52%,374.61,5,0.6485,0.93,0
2022-10-15,-93.44%,386.07,5,0.6485,0.93,0
2022-10-16,-93.65%,412.16,1,0.6485,0.93,0
2022-10-17,-89.19%,421.86,2,0.6485,0.93,0
2022-10-18,-69.23%,468.73,3,0.6485,0.93,0
2022-10-19,-68.63%,489.16,3,0.6485,0.93,0
2022-10-20,-83.84%,408.51,4,0.6485,0.93,0
2022-10-21,-67.57%,419.83,5,0.6485,0.93,0
2022-10-22,-67.57%,500.62,5,0.6485,0.93,0
2022-10-23,-57.89%,536.69,1,0.6485,0.93,0
2022-10-24,-65.22%,459.44,2,0.6485,0.93,0
2022-10-25,-67.12%,448.66,3,0.6485,0.93,0
2022-10-26,-76.57%,456.28,3,0.6485,0.93,0
2022-10-27,-82.98%,376.70,4,0.6485,0.93,0
2022-10-28,-68.00%,360.62,5,0.6485,0.93,0
2022-10-29,-22.58%,401.50,5,0.6485,0.93,0
2022-10-30,-15.15%,461.71,1,0.6485,0.93,0
2022-10-31,-54.47%,512.96,2,0.6485,0.93,0
2022-11-01,-66.32%,471.81,3,0.7192000000000001,1.011,0
2022-11-02,-68.54%,417.82,3,0.7192000000000001,1.011,0
2022-11-03,-89.19%,376.64,4,0.7192000000000001,1.011,0
2022-11-04,-74.19%,383.05,5,0.7192000000000001,1.011,0
2022-11-05,-83.10%,366.52,5,0.7192000000000001,1.011,2
2022-11-06,-59.60%,486.53,1,0.7192000000000001,1.011,0
2022-11-07,-70.83%,441.86,2,0.7192000000000001,1.011,0
2022-11-08,-92.59%,394.88,3,0.7192000000000001,1.011,0
2022-11-09,-100.00%,418.76,3,0.7192000000000001,1.011,0
2022-11-10,-73.83%,455.27,4,0.7192000000000001,1.011,0
2022-11-11,-54.63%,470.41,5,0.7192000000000001,1.011,2
2022-11-12,-23.08%,468.62,5,0.7192000000000001,1.011,2
2022-11-13,-53.96%,405.94,1,0.7192000000000001,1.011,2
2022-11-14,-77.27%,402.01,2,0.7192000000000001,1.011,0
2022-11-15,-85.45%,364.45,3,0.7192000000000001,1.011,0
2022-11-16,-91.75%,351.69,3,0.7192000000000001,1.011,1
2022-11-17,-68.00%,462.63,4,0.7192000000000001,1.011,1
2022-11-18,-77.57%,345.58,5,0.7192000000000001,1.011,1
2022-11-19,-100.00%,327.13,5,0.7192000000000001,1.011,1
2022-11-20,-90.59%,332.49,1,0.7192000000000001,1.011,1
2022-11-21,-91.01%,342.52,2,0.7192000000000001,1.011,0
2022-11-22,-100.00%,347.94,3,0.7192000000000001,1.011,0
2022-11-23,-100.00%,327.18,3,0.7192000000000001,1.011,0
2022-11-24,-100.00%,316.81,4,0.7192000000000001,1.011,0
2022-11-25,-84.76%,318.57,5,0.7192000000000001,1.011,0
2022-11-26,-86.99%,321.98,5,0.7192000000000001,1.011,0
2022-11-27,-65.96%,351.34,1,0.7192000000000001,1.011,0
2022-11-28,-74.77%,475.96,2,0.7192000000000001,1.011,0
2022-11-29,-89.61%,343.98,3,0.7192000000000001,1.011,0
2022-11-30,-78.26%,364.31,3,0.7192000000000001,1.011,0
2022-12-01,-90.48%,457.09,4,0.5466,1.0090000000000001,0
2022-12-02,-50.00%,425.88,5,0.5466,1.0090000000000001,0
2022-12-03,-57.52%,486.53,5,0.5466,1.0090000000000001,0
2022-12-04,-27.27%,509.84,1,0.5466,1.0090000000000001,0
2022-12-05,-51.02%,485.06,2,0.5466,1.0090000000000001,0
2022-12-06,-66.06%,463.83,3,0.5466,1.0090000000000001,3
2022-12-07,-60.40%,426.80,3,0.5466,1.0090000000000001,0
